ID Empleado,Nombre,Apellido,Edad,Género,Área,Puesto,Tipo de Contrato,Fecha de Ingreso,Sueldo,Ciudad,Modalidad de Trabajo,Estado,Evaluación de Desempeño,pred_rf,pred_svm
E0001,Begoña,Noriega,60,Masculino,Finanzas,Jefe de Tesorería,Indeterminado,2019-12-08,2061.68,Cusco,Presencial,Activo,89.22,0,0
E0002,Manolo,Cases,25,Femenino,Finanzas,Analista Financiero,Indeterminado,2019-07-20,2109.59,Arequipa,Presencial,Activo,71.6,0,0
E0003,Blanca,Farré,54,Femenino,Marketing,Diseñador Gráfico,Indeterminado,2020-04-29,4777.15,Cusco,Presencial,Activo,34.03,0,0
E0004,Felipe,Coello,29,Masculino,Logística,Almacenero,Plazo Fijo,2025-06-02,1420.35,Arequipa,Remoto,Activo,80.71,0,0
E0005,Felipe,Gisbert,49,Masculino,TI,Desarrollador Backend,Plazo Fijo,2025-04-26,4065.9,Cusco,Mixto,Activo,70.46,0,0
E0006,Amalia,Nicolau,22,Masculino,Logística,Almacenero,Plazo Fijo,2022-07-29,2857.24,Piura,Presencial,Activo,36.48,0,0
E0007,Cipriano,Gil,43,Femenino,Marketing,Coordinador de Producto,Indeterminado,2023-03-16,5678.84,Cusco,Mixto,Activo,17.11,0,0
E0008,Macario,Quiroga,35,Masculino,TI,Soporte Técnico,Indeterminado,2021-05-18,4418.98,Cusco,Mixto,Activo,84.29,0,0
E0009,Dolores,Cid,23,Masculino,Finanzas,Contador,Plazo Fijo,2020-09-27,1265.58,Iquitos,Remoto,Activo,49.92,1,1
E0010,Odalis,Quintero,49,Masculino,Logística,Almacenero,Plazo Fijo,2022-02-26,3776.14,Piura,Mixto,Activo,42.84,0,0
E0011,Salomón,Gimenez,57,Femenino,Logística,Almacenero,Indeterminado,2020-11-03,3432.13,Trujillo,Mixto,Activo,15.28,0,0
E0012,Julieta,Arce,30,Femenino,Recursos Humanos,Analista de RRHH,Plazo Fijo,2023-09-19,3951.15,Iquitos,Remoto,Activo,97.11,0,0
E0013,Isabela,Huertas,20,Masculino,Producción,Supervisor de Producción,Plazo Fijo,2023-05-13,2654.69,Cusco,Mixto,Activo,45.37,0,0
E0014,Álvaro,Otero,36,Masculino,Recursos Humanos,Analista de RRHH,Indeterminado,2022-08-15,3503.85,Cusco,Mixto,Cesado,76.25,0,0
E0015,Adán,Pi,54,Masculino,Recursos Humanos,Reclutador,Plazo Fijo,2022-08-13,1497.17,Chiclayo,Presencial,Activo,83.17,0,0
E0016,Plácido,Valverde,39,Masculino,Finanzas,Analista Financiero,Indeterminado,2019-07-15,4640.77,Arequipa,Presencial,Activo,53.27,0,0
E0017,Chus,Pla,28,Masculino,Producción,Jefe de Línea,Plazo Fijo,2019-02-11,3605.31,Trujillo,Remoto,Activo,92.89,0,0
E0018,Xavier,Figueroa,32,Femenino,TI,Analista de Sistemas,Plazo Fijo,2025-01-11,5491.04,Tacna,Remoto,Cesado,22.47,1,1
E0019,Ema,Losa,41,Masculino,Recursos Humanos,Asistente de Bienestar,Indeterminado,2021-12-09,2046.5,Piura,Mixto,Activo,5.89,0,0
E0020,Jordán,Francisco,24,Masculino,Logística,Almacenero,Indeterminado,2018-12-17,4321.72,Piura,Remoto,Activo,72.34,0,0
E0021,Jose Miguel,Conde,56,Femenino,Marketing,Diseñador Gráfico,Plazo Fijo,2020-06-10,1408.23,Iquitos,Presencial,Activo,41.11,0,0
E0022,Maricela,Carreño,23,Masculino,Finanzas,Contador,Indeterminado,2021-08-29,2190.69,Tacna,Presencial,Activo,14.02,0,0
E0023,Azeneth,Molins,31,Femenino,TI,Desarrollador Backend,Indeterminado,2019-11-17,5026.67,Arequipa,Remoto,Cesado,99.93,0,0
E0024,Valero,Puig,20,Masculino,Marketing,Especialista en Marca,Plazo Fijo,2020-02-24,3370.49,Iquitos,Remoto,Activo,16.46,1,1
E0025,Felisa,Vallejo,20,Femenino,Logística,Supervisor de Logística,Plazo Fijo,2023-02-20,4461.72,Cusco,Remoto,Cesado,29.67,1,1
E0026,Consuelo,Estévez,23,Masculino,Producción,Jefe de Línea,Indeterminado,2025-04-18,3891.78,Lima,Presencial,Cesado,50.78,0,0
E0027,Anacleto,Anguita,31,Masculino,Recursos Humanos,Analista de RRHH,Indeterminado,2020-06-01,1537.83,Piura,Remoto,Activo,3.97,1,1
